Country,firstDay,lastDay
"Korea, South",2021-10-04,2023-02-06
Turkey,2020-08-09,2021-12-12
Serbia2021,2021-09-25,2023-01-28
Argentina,2020-08-09,2021-12-12
Ukraine2021,2020-12-31,2022-05-05
Uruguay,2020-08-09,2021-12-12
Ireland,2020-12-04,2022-04-08
Greece,2020-08-09,2021-12-12
Finland,2020-08-09,2021-12-12
Guatemala,2020-08-09,2021-12-12
Spain,2020-07-09,2021-11-11
Denmark,2021-06-04,2022-10-07
Netherlands,2020-08-09,2021-12-12
Panama,2020-08-09,2021-12-12
Russia,2021-08-23,2022-12-26
Poland,2020-08-09,2021-12-12
Austria,2020-08-09,2021-12-12
Austria2021,2021-08-23,2022-12-26
Malaysia,2020-08-09,2021-12-12
Italy,2021-06-04,2022-10-07
France2020,2020-05-24,2021-09-26
Japan,2020-04-04,2021-08-07
Germany,2021-08-04,2022-12-07
Russia2020,2020-08-04,2021-12-07
Iran,2020-08-09,2021-12-12
Switzerland,2020-10-23,2022-02-25
United Kingdom,2020-05-23,2021-09-25
Ecuador,2020-08-09,2021-12-12
India2020,2020-04-04,2021-08-07
Kenya,2020-08-09,2021-12-12
Portugal,2020-12-04,2022-04-08
Mongolia,2020-11-09,2022-03-14
Nigeria,2020-08-09,2021-12-12
Senegal,2020-08-09,2021-12-12
China,2020-08-09,2021-12-12
Thailand,2021-05-09,2022-09-11
Bulgaria,2020-08-09,2021-12-12
Pakistan,2020-08-09,2021-12-12
Norway,2020-08-09,2021-12-12
Mexico,2020-12-21,2022-04-25
Belgium,2020-08-09,2021-12-12
Estonia,2020-08-09,2021-12-12
Canada,2020-12-21,2022-04-25
Ukraine,2020-05-23,2021-09-25
Mauritania,2020-08-09,2021-12-12
Germany2020,2020-08-04,2021-12-07
Hungary,2020-10-04,2022-02-06
Lithuania,2020-08-09,2021-12-12
Indonesia,2020-08-09,2021-12-12
Israel,2020-08-09,2021-12-12
Latvia,2020-08-09,2021-12-12
Bolivia,2020-08-09,2021-12-12
Japan2021,2021-08-23,2022-12-26
Iran2021,2021-09-25,2023-01-28
Libya,2020-08-09,2021-12-12
Serbia,2020-05-23,2021-09-25
Bangladesh,2020-08-09,2021-12-12
France,2021-10-04,2023-02-06
Poland2021,2021-10-04,2023-02-06
Jamaica,2020-08-09,2021-12-12
